id	name	en	fr	de	es	ru	pt	zh	ja
41	e_loc_upp_rocket_pod	ROCKET POD	NACELLE DE ROQUETTE	RAKETENSTARTBEHÄLTER	CONTENEDOR DE COHETES	РАКЕТНЫЙ БЛОК	CÁPSULA DE FOGUETE	火箭巢	ロケット弾ポッド
42	e_loc_upp_control_bots	VIRUS BOTS	VIRUS BOTS	VIRENBOTS	BOTS CON VIRUS	ВИРУСНЫЕ БОТЫ	BOTS VIRAIS	病毒机器人	ウイルスボット
43	e_loc_upp_anti_air_cannon	ANTI AIR CANNON	CANON ANTI-AIR	FLAK	CAÑÓN ANTIAÉREO	ЗЕНИТНАЯ УСТАНОВКА	CANHÃO ANTIAÉREO	防空炮	対空機関砲
44	e_loc_upp_missile_array	MISSILE ARRAY	RAYON DE MISSILE	RAKETENWERFER	BATERÍA DE MISILES	РАКЕТНАЯ УСТАНОВКА	LINHA DE MÍSSEIS	导弹阵列	ミサイルアレイ
45	e_loc_upp_naval_anti_air_cannon	NAVAL ANTI AIR CANNON	CANON ANTI-AIR NAVAL	MARINE-FLAK	CAÑÓN ANTIAÉREO NAVAL	#	CANHÃO ANTIAÉREO NAVAL	舰载防空炮	海軍対空機関砲
46	e_loc_upp_naval_missile_array	NAVAL MISSILE ARRAY	RAYON DE MISSILE NAVAL	MARINE-RAKETENWERFER	BATERÍA DE MISILES NAVAL	#	LINHA DE MÍSSEIS NAVAIS	舰载导弹阵列	海軍ミサイルアレイ
47	e_loc_upp_naval_cruise_missile	NAVAL CRUISE MISSILE	MISSILE DE CROISIÈRE NAVAL	MARINE-MARSCHFLUGKÖRPER	MISIL DE CRUCERO NAVAL	#	MÍSSIL DE CRUZEIRO NAVAL	舰载巡航导弹	海軍巡航ミサイル
48	e_loc_upp_naval_flare_launcher	NAVAL FLARE LAUNCHER	LANCE-FUSÉE NAVAL	MARINE-LEUCHTRAKETENWERFER	LANZABENGALAS NAVAL	#	LANÇADOR DE SINALIZADOR NAVAL	舰载曳光弹发射器	海軍フレアランチャー
49	e_loc_upp_naval_camera	NAVAL CAMERA	CAMÉRA NAVALE	SCHIFFSKAMERA	CÁMARA NAVAL	КАМЕРА АВИАНОСЦА	CÂMERA NAVAL	舰载摄像头	海軍カメラ
50	e_loc_upp_bomb_1	BOMB (LIGHT)	BOMBE 1	BOMBE 1	BOMBA 1	БОМБА 1	BOMBA 1	炸弹（轻）	爆弾1
51	e_loc_upp_bomb_2	BOMB (MEDIUM)	BOMBE 2	BOMBE 2	BOMBA 2	БОМБА 2	BOMBA 2	炸弹（中）	爆弾2
52	e_loc_upp_bomb_3	BOMB (HEAVY)	BOMBE 3	BOMBE 3	BOMBA 3	БОМБА 3	BOMBA 3	炸弹（重）	爆弾3
53	e_loc_upp_bomb_4	BOMB 4	BOMBE 4	BOMBE 4	BOMBA 4	БОМБА 4	BOMBA 4	炸弹4	爆弾4
54	e_loc_upp_missile_1	MISSILE (IR)	MISSILE (IR)	RAKETE (IR)	MISIL (IR)	РАКЕТА (ИК)	MÍSSIL (IV)	导弹（红外）	ミサイル（赤外線）
55	e_loc_upp_missile_2	MISSILE (LASER)	MISSILE (LASER)	RAKETE (LASER)	MISIL (LÁSER)	РАКЕТА (ЛАЗЕР)	MÍSSIL (LASER)	导弹（激光）	ミサイル（レーザー）
56	e_loc_upp_missile_3	MISSILE (TV)	MISSILE (TV)	RAKETE (TV)	MISIL (TV)	РАКЕТА (ТВ)	MÍSSIL (TV)	导弹（电视）	ミサイル（TV）
57	e_loc_upp_missile_4	MISSILE (AA)	MISSILE (AA)	RAKETE (FLARAK)	MISIL (AA)	РАКЕТА (ПВО)	MÍSSIL (AA)	导弹（防空）	ミサイル（対空）
58	e_loc_upp_actuated_camera	ACTUATED CAMERA	CAMÉRA ACTIONNÉE	LENK-KAMERA	CÁMARA IMPULSADA	КАМЕРА (ПОВОРОТНАЯ)	CÂMERA ATIVA	可动摄像头	作動カメラ
59	e_loc_upp_fixed_camera	FIXED CAMERA	CAMÉRA FIXE	FESTE KAMERA	CÁMARA FIJA	КАМЕРА (ФИКСИРОВАННАЯ)	CÂMERA FIXA	固定摄像头	固定カメラ
60	e_loc_upp_gimbal_camera	GIMBAL CAMERA	CAMÉRA GIMBAL	GELENK-KAMERA	CÁMARA CON CARDÁN	КАМЕРА (ПОДВЕСНАЯ)	CÂMERA DE SUSPENSÃO	万向摄像头	ジンバルカメラ
61	e_loc_upp_observation_camera	OBSERVATION CAMERA	CAMÉRA À CARDAN	BEOBACHTUNGSKAMERA	CÁMARA DE OBSERVACIÓN	КАМЕРА (ОБЗОРНАЯ)	CÂMERA DE OBSERVAÇÃO	观察摄像头	監視カメラ
62	e_loc_upp_awacs_radar_system	AWACS RADAR SYSTEM	SYSTÈME RADAR AWACS	AWACS-RADARSYSTEM	SISTEMA DE RADAR AWACS	ДРЛО	SISTEMA DE RADAR AWACS	预警雷达系统	空中警戒管制レーダーシステム
63	e_loc_upp_external_fuel_tank	EXTERNAL FUEL TANK	RÉSERVOIR DE CARBURANT EXTERNE	AUSSENTANK	DEPÓSITO DE COMBUSTIBLE EXTERNO	ПОДВЕСНОЙ ТОПЛИВНЫЙ БАК	TANQUE DE COMBUSTÍVEL EXTERNO	外挂燃料箱	外部燃料タンク
64	e_loc_upp_ir_countermeasures	IR COUNTERMEASURES	CONTRE-MESURES IR	IR-GEGENMASSNAHMEN	DEFENSA IR	ИК ЛОВУШКИ	CONTRAMEDIDAS IV	红外反制武器	赤外線防衛
65	e_loc_upp_msl	MSL	MSL	RAK	MSL	РКТ	MSL	导弹	ミサイル
66	e_loc_upp_aa	AA	AA	FLA	AA	ПВО	AA	防空	対空
67	e_loc_upp_gun	GUN	CANON	KAN	CAÑ	ПУШ	ARMA	火炮	銃
68	e_loc_upp_continue	CONTINUE	CONTINUER	WEITER	CONTINUAR	ПРОДОЛЖИТЬ	CONTINUAR	继续	続ける
69	e_loc_upp_options	OPTIONS	OPTIONS	OPTIONEN	OPCIONES	ОПЦИИ	OPÇÕES	选项	オプション
70	e_loc_upp_save	SAVE	SAUVEGARDER	SPEICHERN	GUARDAR	СОХРАНИТЬ	SALVAR	保存	セーブする
71	e_loc_upp_load	LOAD	CHARGER	LADEN	CARGAR	ЗАГРУЗИТЬ	CARREGAR	载入	ロードする
72	e_loc_upp_quit	QUIT	QUITTER	BEENDEN	SALIR	ВЫЙТИ В МЕНЮ	SAIR	退出	やめる
73	e_loc_upp_stock	STOCK	STOCK	BESTAND	SUMINISTROS	СКЛАДЫ	ESTOQUE	存货	備蓄
74	e_loc_upp_map	MAP	CARTE	KARTE	MAPA	КАРТА	MAPA	地图	地図
75	e_loc_upp_barges	BARGES	BARGES	BARKEN	BARCAZAS	БАРЖИ	BARCAÇAS	驳船	将官艇
76	e_loc_upp_collect_surplus	COLLECT SURPLUS	COLLECTER SURPLUS	ÜBERSCHUSS EINSAMMELN	RECOGER EXTRA	СОБИРАЕТ ИЗЛИШКИ	COLETAR EXCEDENTE	收集剩余	余剰を集める
77	e_loc_upp_deliver_order	DELIVER ORDER	EXÉCUTER LA COMMANDE	AUFTRAG LIEFERN	ENTREGAR PEDIDO	ДОСТАВЛЯЕТ ЗАКАЗ	ENTREGAR PEDIDO	交付订单	指令を出す
78	e_loc_upp_id	ID	ID	ID	ID	ID	ID	编号	ID
79	e_loc_upp_idle	IDLE	INACTIF	OHNE AUFTRAG	ESPERA	ПРОСТАИВАЕТ	INATIVO	空闲	アイドリング
80	e_loc_upp_queue	QUEUE	FILE D'ATTENTE	PRODUKTION	COLA	ОЧЕРЕДЬ	FILA	队列	整列させる
81	e_loc_upp_refitting	REFITTING	RÉAMÉNAGEMENT	UMRÜSTEN	REEQUIPANDO	ПОДГОТОВКА	REEQUIPAR	正在生产	再装備
82	e_loc_upp_order	ORDER	COMMANDE	AUFTRAG	PEDIDO	ЗАПРОС	ORDEM	指令	指令
83	e_loc_upp_air_traffic	AIR TRAFFIC	TRAFIC AÉRIEN	FLUGVERKEHR	TRÁFICO AÉREO	ПОРЯДОК ЗАХОДА НА ПОСАДКУ	TRÁFEGO AÉREO	空中交通	航空管制
84	e_loc_upp_cartographic	CARTOGRAPHIC	CARTOGRAPHIE	KARTOGRAPHIE	CARTOGRAFÍA	ТОЛЬКО КАРТА	CARTOGRAFIA	地形	地図製作
85	e_loc_upp_wind	WIND	VENT	WIND	VIENTO	ВЕТЕР	VENTO	风向	風
86	e_loc_upp_precipitation	PRECIPITATION	PRÉCIPITATIONS	NIEDERSCHLAG	LLUVIA	ОСАДКИ	PRECIPITAÇÃO	降水	降雨
87	e_loc_upp_fog	FOG	BROUILLARD	NEBEL	NIEBLA	ТУМАН	NEBLINA	海雾	霧
88	e_loc_upp_ocean_current	OCEAN CURRENT	COURANT OCÉANIQUE	MEERESSTRÖMUNG	CORRIENTE OCEÁNICA	МОРСКОЕ ТЕЧЕНИЕ	CORRENTE OCEÂNICA	洋流	海流
89	e_loc_upp_ocean_depth	OCEAN DEPTH	PROFONDEUR OCÉANIQUE	MEERESTIEFE	PROFUNDIDAD DEL OCÉANO	МОРСКОЕ ДНО	PROFUNDIDADE OCEÂNICA	海深	大洋深度
90	e_loc_upp_surface	SURFACE	SURFACE	Bodenfzg.	SUPERFICIE	НАЗЕМНАЯ	TERRESTRE	地面	表層
91	e_loc_upp_air	AIR	AIR	Luftfzg.	AIRE	ВОЗДУШНАЯ	AR	空中	空気
92	e_loc_upp_payload	PAYLOAD	CHARGE UTILE	FRACHT	CARGA	НАГРУЗКА	CARGA ÚTIL	装载	最大積載量
93	e_loc_upp_kg	KG	KG	KG	KG	КГ	KG	千克	KG
94	e_loc_upp_kmh	KMH	KMH	KMH	K/H	КМ/Ч	KM/H	公里/时	時速KM
95	e_loc_upp_select_chassis	SELECT CHASSIS	CHOISIR CHÂSSIS	CHASSIS WÄHLEN	ELEGIR CHASIS	ВЫБРАТЬ ШАССИ	SELECIONAR CHASSI	选择底盘	シャシーを選択
96	e_loc_upp_clear	CLEAR	EFFACER	LÖSCHEN	BORRAR	ОЧИСТИТЬ	LIMPAR	空	クリア
97	e_loc_upp_singleplayer	SINGLEPLAYER	JEU SOLO	EINZELSPIELER	UN JUGADOR	ОДИНОЧНАЯ ИГРА	JOGADOR INDIVIDUAL	单人	シングルプレイヤー
98	e_loc_upp_new_game	NEW GAME	NOUVELLE PARTIE	NEUES SPIEL	NUEVA PARTIDA	НОВАЯ ИГРА	NOVO JOGO	新游戏	新しいゲーム
99	e_loc_upp_load_game	LOAD GAME	CHARGER PARTIE	SPIEL LADEN	CARGAR PARTIDA	ЗАГРУЗИТЬ ИГРУ	CARREGAR JOGO	载入游戏	ゲームをロード
100	e_loc_upp_multiplayer	MULTIPLAYER	MULTIJOUEUR	MEHRSPIELER	MULTIJUGADOR	СЕТЕВАЯ ИГРА	MULTIJOGADOR	多人	マルチプレイヤー
101	e_loc_upp_join	JOIN	REJOINDRE	TEILNEHMEN	UNIRSE	ПРИСОЕДИНИТЬСЯ	ENTRAR	加入	参加する
102	e_loc_upp_host	HOST	HÔTE	HOSTEN	ORGANIZAR	СОЗДАТЬ СЕРВЕР	HOSPEDAR	创建	ホスト
103	e_loc_upp_start	START	COMMENCER	START	INICIAR	НАЧАТЬ ИГРУ	INICIAR	开始	スタート
104	e_loc_upp_ip	IP	IP	IP	IP	IP	IP	IP	IP
105	e_loc_upp_port	PORT	PORT	PORT	PUERTO	ПОРТ	PORTA	端口	ポート
106	e_loc_upp_connect	CONNECT	CONNECTER	VERBINDEN	CONECTAR	ПОДКЛЮЧИТЬСЯ	CONECTAR	连接	接続する
107	e_loc_upp_save_name	SAVE NAME	SAUVEGARDER NOM	NAME SPEICHERN	NOMBRE DE PARTIDA	НАЗВАНИЕ СОХРАНЕНИЯ	NOME DO JOGO SALVO	存档名称	セーブデータ名を記入してください
108	e_loc_upp_press_any_key	PRESS ANY KEY	APPUYEZ SUR UNE TOUCHE	BELIEBIGE TASTE DRÜCKEN	PULSA UNA TECLA	НАЖМИТЕ ЛЮБУЮ КЛАВИШУ	APERTE QUALQUER TECLA	按任意键	いずれかのキーを押してください
109	e_loc_upp_credits	CREDITS	CRÉDITS	MITWIRKENDE	CRÉDITOS	СОЗДАТЕЛИ	CRÉDITOS	制作人员	クレジット
110	e_loc_upp_sure	SURE?	ÊTES-VOUS SÛR(E) ?	SICHER?	¿SEGURO?	УВЕРЕНЫ?	CONFIRMAR?	是否确定？	確定しますか？
111	e_loc_upp_no	NO	NON	NEIN	NO	НЕТ	NÃO	否	いいえ
112	e_loc_upp_yes	YES	OUI	JA	SÍ	ДА	SIM	是	はい
113	e_loc_upp_profile	PROFILE	PROFIL	PROFIL	PERFIL	ПРОФИЛЬ	PERFIL	档案	プロフィール
114	e_loc_upp_body	BODY	CORPS	KÖRPER	CUERPO	ТЕЛО	CORPO	身体	アバター
115	e_loc_upp_gender	GENDER	GENRE	GESCHLECHT	GÉNERO	ПОЛ	GÊNERO	性别	性別
116	e_loc_upp_male	MALE	HOMME	MÄNNLICH	HOMBRE	МУЖСКОЙ	MASCULINO	男	男性
117	e_loc_upp_female	FEMALE	FEMME	WEIBLICH	MUJER	ЖЕНСКИЙ	FEMININO	女	女性
118	e_loc_upp_skin	SKIN	PEAU	HAUT	PIEL	ЦВЕТ КОЖИ	PELE	皮肤	肌
119	e_loc_upp_hair	HAIR	CHEVEUX	HAARE	PELO	ВОЛОСЫ	CABELO	头发	髪
120	e_loc_upp_type	TYPE	TYPE	TYP	TIPO	ПРИЧЕСКА	TIPO	种类	タイプ
121	e_loc_upp_color	COLOR	COULEUR	FARBE	COLOR	ЦВЕТ ВОЛОС	COR	颜色	色
122	e_loc_upp_facial	FACIAL	VISAGE	GESICHT	FACIAL	ВОЛОСЫ НА ЛИЦЕ	ROSTO	面部	顔
123	e_loc_upp_graphics	GRAPHICS	GRAPHISMES	GRAFIK	GRÁFICOS	ГРАФИКА	GRÁFICOS	画面	グラフィック
124	e_loc_upp_audio	AUDIO	AUDIO	AUDIO	SONIDO	ЗВУК	ÁUDIO	声音	オーディオ
125	e_loc_upp_keyboard	KEYBOARD	CLAVIER	TASTATUR	TECLADO	КЛАВИАТУРА	TECLADO	键盘	キーボード
126	e_loc_upp_mouse	MOUSE	SOURIS	MAUS	RATÓN	МЫШЬ	MOUSE	鼠标	マウス
127	e_loc_upp_gamepad	GAMEPAD	MANETTE	GAMEPAD	MANDO	ГЕЙМПАД	CONTROLE	手柄	ゲームパッド
128	e_loc_upp_quality	QUALITY	QUALITÉ	QUALITÄT	CALIDAD	КАЧЕСТВО	QUALIDADE	质量	クオリティ
129	e_loc_upp_guided	GUIDED	GUIDÉ	GELENKT	GUIADO	УПРАВЛЯЕМАЯ	GUIADO	制导	ガイド付きの
130	e_loc_upp_crs_msl	CRR MSL	MSL CRR	TRG RAK	MSL PRT	АВЦ РКТ	MSL PAV	航母导弹	空母ミサイル
131	e_loc_upp_crr_gun	CRR GUN	CANON CRR	TRG KAN	CAÑ PRT	АВЦ ОГК	ARM PAV	航母火炮	空母機関砲
132	e_loc_upp_crr_flr	CRR FLR	FLR CRR	TRG LEU	BGL PRT	АВЦ СИГ	SIN PAV	航母曳光弹	空母照明弾
133	e_loc_upp_gnd_art	GND ART	GND ART	BOD ART	ART FJA	ЗМЛ АРТ	ART TRR	地面炮兵	迫撃砲
134	e_loc_upp_guided_msl	GUIDED MSL	MSL GUIDÉ	LENK-RAK	MSL GUIADO	УПР РКТ	MSL GUIADO	导弹	ガイド付きミサイル
135	e_loc_upp_lsr_on	LSR ON	LSR ON	LSR AN	CON LSR	ЛЗР ВКЛ	LSR ATIV.	激光启动	レーザーON
136	e_loc_upp_lsr_off	LSR OFF	LSR OFF	LSR AUS	SIN LSR	ЛЗР ВЫКЛ	LSR DESATIV.	激光关闭	レーザーOFF
137	e_loc_upp_waiting	WAITING	EN ATTENTE	WARTET	EN ESPERA	ОЖИДАНИЕ	AGUARDANDO	等待中	待機中
138	e_loc_upp_active	ACTIVE	ACTIF	AKTIV	ACTIVO	АКТИВНО	ATIVO	运行中	アクティブ
139	e_loc_upp_complete	COMPLETE	ACHEVÉ	ABGESCHLOSSEN	COMPLETADO	ВЫПОЛНЕНО	CONCLUÍDO	已完成	完了
140	e_loc_upp_cancelled	CANCELLED	ANNULÉ	ABGEBROCHEN	CANCELADO	ОТМЕНЕНО	CANCELADO	已取消	キャンセルしました
141	e_loc_upp_destroyed	DESTROYED	DÉTRUIT	ZERSTÖRT	DESTRUIDO	УНИЧТОЖЕНО	DESTRUÍDO	被摧毁	破壊しました
142	e_loc_upp_wep	WEP	WEP	WAF	ARM	ТИП	ARMA	武器	武器
143	e_loc_upp_tilt	TILT	INCLINER	NEIGEN	INCL	УКЛОН	INCLINAÇÃO	倾角	傾斜
144	e_loc_upp_range	RANGE	PORTÉE	REICHWEITE	ALCANCE	ДИСТАНЦИЯ	ALCANCE	距离	射距離
145	e_loc_upp_empty	EMPTY	VIDE	LEER	VACÍO	ПУСТО	VAZIO	空	空の状態
146	e_loc_upp_armed	ARMED	ARMÉ	SCHARF	ARMADO	ГОТОВО	ARMADO	准备	武装済み
147	e_loc_upp_dmg_critical	DMG CRITICAL	DGTS CRITIQUES	KRITISCHER SCH.	DAÑO CRÍTICO	КРИТИЧЕСКИЙ УРОН	DANO CRÍTICO	损伤严重	重度のダメージ
148	e_loc_upp_msl_incoming	MSL INCOMING	MSL EN APPROCHE	RAK IM ANFLUG	MSL CERCANO	РАКЕТА ПРИБЛИЖАЕТСЯ	MSL SE APROXIMANDO	导弹来袭	ミサイル接近中
149	e_loc_upp_alt	ALT	ALT	HÖHE	ALT	ВЫСОТА	ALT	高度	高度
150	e_loc_upp_spd	SPD	VIT	GESCHW.	VEL	СКР	VEL	速度	速度
151	e_loc_upp_fuel	FUEL	CARBURANT	KRAFTSTOFF	COMB	ТОПЛИВО	COMBUSTÍVEL	燃料	燃料
152	e_loc_upp_speed	SPEED	VITESSE	GESCHW.	VELOCIDAD	СКОРОСТЬ	VELOCIDADE	速度	速度
153	e_loc_upp_throttle	THROTTLE	MANETTE DE GAZ	GAS	ACELER.	ГАЗ	ACELERADOR	推力	スロットル
154	e_loc_upp_connecting	CONNECTING	CONNEXION	VERBINDUNGSAUFB.	CONECTANDO	ПОДКЛЮЧЕНИЕ	CONECTANDO	正在连接	接続中
155	e_loc_upp_game	GAME	PARTIE	SPIEL	JUEGO	ИГРА	JOGO	游戏	ゲーム
156	e_loc_upp_quit_to_desktop	QUIT TO DESKTOP	QUITTER VERS BUREAU	ZURÜCK ZUM DESKTOP	SALIR AL ESCRITORIO	ВЫЙТИ ИЗ ИГРЫ	SAIR PARA A ÁREA DE TRABALHO	退至桌面	中止してデスクトップへ
157	e_loc_upp_save_slots	SAVE SLOTS	EMPLACEMENTS DE SAUVEGARDE	SPEICHERPLÄTZE	ESPACIOS DE GUARDADO	СЛОТЫ СОХРАНЕНИЯ	ESPAÇOS P/ SALVAR JOGO	存档位	スロットを保存
158	e_loc_upp_confirm	CONFIRM	CONFIRMER	BESTÄTIGEN	CONFIRMAR	ПОДТВЕРДИТЬ	CONFIRMAR	确认	確定
159	e_loc_upp_cancel	CANCEL	ANNULER	ABBRECHEN	CANCELAR	ОТМЕНА	CANCELAR	取消	キャンセル
160	e_loc_upp_save_game	SAVE GAME	SAUVEGARDER PARTIE	SPIEL SPEICHERN	GUARDAR PARTIDA	СОХРАНИТЬ ИГРУ	SALVAR JOGO	保存游戏	ゲームを保存
161	e_loc_upp_damage_status	DAMAGE STATUS	ÉTAT DES DOMMAGES	SCHADENSSTATUS	CONDICIÓN	ПОВРЕЖДЕНИЯ	STATUS DE DANO	损伤状态	ダメージステータス
162	e_loc_upp_size	SIZE	TAILLE	GRÖSSE	TAMAÑO	РАЗМЕР	TAMANHO	大小	サイズ
163	e_loc_upp_unload	UNLOAD	DÉCHARGER	ENTLADEN	DESCARGAR	ПЛЫВЕТ НА СКЛАД	DESCARREGAR	卸货	アンロード
164	e_loc_upp_launch_carrier	DEPLOY CARRIER	DÉPLOYER TRANSPORTEUR	TRÄGER WASSERN	DESPLEGAR PORTAVIONES	СПУСТИТЬ СУДНО	ATIVAR PORTA-AVIÕES	部署航母	航空母艦を配置
165	e_loc_upp_engine	ENGINE	MOTEUR	ANTRIEB	MOTOR	ДВИГАТЕЛЬ	MOTOR	发动机	エンジン
166	e_loc_upp_reverse	REVERSE	INVERSER	RÜCKWÄRTS	ATRÁS	НАЗАД	RÉ	后退	後退
167	e_loc_upp_forward	FORWARD	EN AVANT	VORWÄRTS	ADELANTE	ВПЕРЕД	PARA FRENTE	前进	前方
